Motifs:     Frequencies:
292         21.21%
38          14.05%
7           12.98%
54          10.89%
310         5.74%
164         4.51%
55          3.75%
278         3.42%
21          3.40%
294         3.00%
161         2.75%
39          2.57%
53          1.91%
14          1.46%
2358        1.11%
270         0.77%
439         0.72%
311         0.65%
291         0.58%
2342        0.54%
307         0.47%
63          0.34%
275         0.32%
162         0.27%
435         0.19%
151         0.19%
295         0.18%
47          0.16%
183         0.15%
2318        0.13%
173         0.12%
438         0.12%
2359        0.10%
150         0.10%
179         0.09%
2194        0.09%
309         0.08%
3511        0.08%
2487        0.07%
279         0.06%
301         0.06%
2357        0.04%
2193        0.04%
511         0.04%
102         0.03%
181         0.03%
447         0.03%
2196        0.03%
166         0.03%
86          0.02%
15          0.02%
2343        0.02%
319         0.02%
3510        0.02%
2486        0.02%
78          0.02%
1133        0.02%
182         0.02%
43          0.01%
2267        0.01%
2483        0.01%
1190        0.01%
283         0.01%
255         0.01%
191         0.01%
223         0.01%
287         0.01%
2231        0.01%
1207        0.01%
2485        0.01%
2203        0.00%
159         0.00%
303         0.00%
1197        0.00%
351         0.00%
95          0.00%
1318        0.00%
2229        0.00%
367         0.00%
4095        0.00%
411         0.00%
3519        0.00%
267         0.00%
431         0.00%
2367        0.00%
1205        0.00%
806         0.00%
2227        0.00%
415         0.00%
3583        0.00%
2495        0.00%
1471        0.00%
590         0.00%
2559        0.00%
614         0.00%
2150        0.00%
299         0.00%
111         0.00%
143         0.00%
1206        0.00%
79          0.00%
175         0.00%
271         0.00%
427         0.00%
2423        0.00%
157         0.00%
2351        0.00%
879         0.00%
413         0.00%
158         0.00%
2927        0.00%
2239        0.00%
1215        0.00%
1199        0.00%
2319        0.00%
2271        0.00%
815         0.00%
2135        0.00%
1126        0.00%
3327        0.00%
2399        0.00%
2935        0.00%
2349        0.00%
1327        0.00%
1791        0.00%
1279        0.00%
623         0.00%
863         0.00%
591         0.00%
2159        0.00%
2303        0.00%
2462        0.00%
2463        0.00%
1135        0.00%
2415        0.00%
2205        0.00%
2459        0.00%
735         0.00%
1131        0.00%
